tsne1,tsne2,tsne3,class
9.023583,-62.519688,-15.674445,food
-16.538343,-0.7814177,-46.367096,inside
29.449476,23.079159,16.365454,inside
-1.1869534,-23.981913,-39.506695,outside
89.70612,-24.183939,11.961232,drink
-31.385365,-105.52778,18.532911,food
-50.036392,-67.08029,35.757088,food
-22.706282,-101.48783,9.297413,food
39.284092,2.782505,-4.5974593,inside
59.33553,66.805756,-35.85265,outside
5.0073576,91.6038,-4.808709,outside
40.411015,1.698311,12.072166,inside
59.659813,-45.6215,-30.870699,drink
91.2901,-34.478165,-2.9423165,inside
30.01882,24.224016,-41.66304,inside
49.050327,67.59579,-35.901047,outside
-27.398691,123.31245,-8.147692,outside
-22.803295,75.14249,13.331481,outside
30.128147,29.900078,-9.188471,inside
-37.22233,-2.533774,-79.46256,inside
66.544655,-12.204889,32.128307,drink
47.674587,-1.9004589,-9.790961,inside
95.36662,24.444952,-18.001211,inside
-6.318273,-15.508609,-26.800951,inside
30.890575,37.80311,2.2313955,inside
23.028416,55.053574,-7.3809915,inside
-54.59031,97.47011,-6.5269194,outside
24.837812,14.343212,33.77068,inside
36.99761,23.42589,0.18586972,inside
49.44882,74.43415,-0.6109056,outside
-3.5332031,28.057636,-33.357117,inside
53.670048,-17.743193,32.53018,drink
36.219193,120.96349,-6.173176,outside
64.97737,-75.49872,17.862724,drink
12.457101,-21.919453,6.4183483,drink
18.913134,-12.361849,-25.40917,inside
35.896248,9.622833,57.18524,inside
65.370865,44.395874,-35.503117,inside
-15.64233,34.90337,-75.46971,inside
75.18576,-15.133945,31.388924,drink
17.95109,-47.156914,18.399714,drink
2.6537044,23.65018,-84.57637,inside
44.86603,-2.9405398,36.337177,inside
84.539566,48.826782,5.8450937,inside
-19.68501,93.66007,11.989749,outside
27.434256,-74.48162,20.134073,drink
-42.384556,-26.326077,-46.78049,inside
40.177406,-9.884135,4.0172977,inside
-17.066347,47.37467,-31.169455,inside
53.144417,45.118057,22.065495,outside
25.668383,11.368481,17.942644,inside
-3.7758431,3.2012677,2.4447432,inside
45.35822,35.435646,-42.567497,inside
-17.98394,21.405529,-28.810333,inside
3.0924673,4.0946574,12.441429,inside
32.42575,9.499833,6.1312804,inside
12.944539,18.632694,-3.8319614,inside
47.47635,16.640585,-6.109977,inside
93.820366,33.306496,-44.22524,inside
32.68813,41.395966,-56.849594,inside
-8.7796955,93.934326,1.8849564,outside
-71.93996,78.83683,19.148788,inside
23.306126,33.322662,-34.105927,inside
47.6426,-92.01093,26.352621,drink
-7.5990996,65.667946,-74.45053,inside
80.12589,-30.668814,-23.006844,drink
-15.122649,-35.730988,-99.43112,outside
51.446625,75.38008,24.935217,outside
-6.026428,25.959831,12.913844,inside
36.541058,53.166275,-32.175903,inside
82.1408,50.042217,-11.789233,inside
104.11747,40.630943,-24.757408,inside
-0.8378259,103.39296,-26.044771,outside
69.76101,-71.562294,-20.5775,drink
14.913854,111.415,13.319677,outside
16.538979,35.498627,-40.87849,inside
-20.981817,35.732014,-44.978943,inside
39.199406,100.47802,-28.236515,outside
17.701574,-44.722797,45.767063,drink
18.592855,1.0189041,-38.55217,inside
68.29817,-49.09619,-18.220245,drink
-25.597857,40.754463,-30.952023,inside
80.02947,17.388474,49.725914,drink
67.9494,-41.351677,22.116253,drink
-11.030766,28.133873,-25.855259,inside
-20.442001,2.6663458,-25.22271,inside
-41.44711,86.32168,-14.036288,outside
20.252129,26.274405,4.944025,inside
55.45138,64.17999,1.7075921,outside
33.520393,-62.913437,-15.6370735,drink
42.83741,-61.82767,50.75898,drink
94.73673,-26.924646,-31.343916,drink
36.423088,22.893412,-18.218868,inside
36.68846,100.13494,-16.598162,inside
-0.47034407,28.243938,-23.799711,inside
69.06239,-61.411907,-25.335176,drink
31.247656,38.15034,18.588385,inside
90.45067,29.053158,-35.56163,inside
-29.473421,-24.961338,-56.346317,inside
-9.669681,48.172867,-49.363266,inside
23.519264,39.857803,52.13763,outside
-29.078901,24.519785,-67.29045,inside
-11.638865,4.0365224,-68.04633,inside
44.329525,-33.818344,-46.254967,drink
-2.3150232,50.8396,-56.915028,inside
27.797192,-64.804535,34.19054,drink
1.8452816,29.035978,45.971004,inside
15.091615,-3.5284166,-30.142015,inside
61.73501,-60.405964,-18.00026,drink
